ReqID,Core,WCLatency,Arrival_Time,Finish_Time
8819,3,228,97262,97490
8940,1,228,97372,97600
8782,2,228,97485,97713
8826,3,338,97490,97828
8958,1,342,97600,97942
8829,3,227,97828,98055
8827,2,347,97713,98060
8976,1,228,97942,98170
9001,1,228,98170,98398
9034,1,57,98437,98494
9050,1,48,98494,98542
9066,1,54,98542,98596
9082,1,54,98596,98650
9093,1,6,98650,98656
9098,1,54,98656,98710
9114,1,54,98710,98764
9125,1,6,98764,98770
9130,1,54,98770,98824
9152,1,204,98824,99028
9184,1,57,99067,99124
9200,1,48,99124,99172
9219,3,129,99167,99296
9231,1,238,99172,99410
9226,2,344,99179,99523
9236,3,342,99296,99638
9265,1,342,99410,99752
9243,2,342,99523,99865
9242,3,341,99638,99979
9248,2,119,99865,99984
9309,1,342,99752,100094
9325,1,228,100094,100322
9357,1,57,100361,100418
9373,1,48,100418,100466
9389,1,54,100466,100520
9405,1,54,100520,100574
9599,1,7,101927,101934
9600,1,10,101934,101944
9601,1,10,101944,101954
9602,1,10,101954,101964
9604,1,5,101964,101969
9637,1,130,102135,102265
9642,1,12,102265,102277
9744,1,58,104217,104275
10011,3,20,113845,113865
10025,3,5,113865,113870
10104,2,7,114395,114402
10253,2,7,120359,120366
10260,3,7,120375,120382
10264,2,53,120366,120419
10274,3,42,120382,120424
10275,3,200,120424,120624
10387,3,7,120919,120926
10397,2,7,121237,121244
10432,2,7,121317,121324
10437,3,7,121373,121380
10440,3,10,121380,121390
10478,2,7,121647,121654
10483,2,20,121654,121674
10486,3,10,121669,121679
10494,2,25,121674,121699
10485,2,15,121699,121714
10507,3,18,121731,121749
10491,2,20,121739,121759
10512,2,15,121759,121774
10518,2,15,121774,121789
10519,2,5,121789,121794
10533,3,7,121817,121824
10549,3,7,121853,121860
10545,2,24,121855,121879
10548,2,1,121879,121880
10550,3,30,121860,121890
10553,2,25,121880,121905
10599,2,7,122083,122090
10607,3,7,122111,122118
10606,2,7,122137,122144
10612,2,7,122215,122222
10617,3,7,122245,122252
10624,2,7,122271,122278
10807,2,130,123753,123883
10813,2,115,123883,123998
10817,2,12,123998,124010
10821,2,102,124010,124112
10825,2,12,124112,124124
10828,2,101,124124,124225
10836,2,115,124225,124340
10901,1,7,124361,124368
10840,2,228,124340,124568
10902,1,313,124368,124681
10844,2,228,124568,124796
11010,1,7,124955,124962
10864,2,228,124796,125024
10867,2,113,125024,125137
10881,2,115,125137,125252
10885,2,12,125252,125264
10899,2,102,125264,125366
10987,2,12,125366,125378
11014,2,101,125378,125479
11016,2,114,125479,125593
11022,2,13,125593,125606
11030,2,105,125606,125711
11060,2,8,125711,125719
11070,2,102,125719,125821
11102,2,114,125821,125935
11108,2,12,125935,125947
11129,2,102,125947,126049
11145,2,12,126049,126061
11153,2,102,126061,126163
11164,2,114,126163,126277
11171,2,12,126277,126289
11193,2,102,126289,126391
11207,2,12,126391,126403
